metric_id,model,year,quarter,forecast,lower_80,upper_80,lower_95,upper_95
revenue,Naive Seasonal,2026,2,36365.0,35019.72724493333,37710.27275506667,34305.05109380417,38424.94890619583
revenue,Naive Seasonal,2026,3,36613.0,35267.72724493333,37958.27275506667,34553.05109380417,38672.94890619583
revenue,Naive Seasonal,2026,4,37125.0,35779.72724493333,38470.27275506667,35065.05109380417,39184.94890619583
revenue,Naive Seasonal,2027,1,37189.0,35843.72724493333,38534.27275506667,35129.05109380417,39248.94890619583
revenue,Linear Trend,2026,2,37399.505263157895,36433.74327147696,38365.26725483883,35920.68221339647,38878.32831291932
revenue,Linear Trend,2026,3,37439.053383458646,36473.29139177771,38404.81537513958,35960.23033369722,38917.87643322007
revenue,Linear Trend,2026,4,37478.6015037594,36512.83951207846,38444.36349544033,35999.77845399797,38957.424553520825
revenue,Linear Trend,2027,1,37518.14962406015,36552.387632379214,38483.91161574108,36039.32657429872,38996.972673821576
revenue,Holt-Winters,2026,2,37123.253017692135,36357.103282466036,37889.402752918235,35950.08623562717,38296.4197997571
revenue,Holt-Winters,2026,3,37297.37246648325,36531.22273125715,38063.52220170935,36124.20568441828,38470.539248548215
revenue,Holt-Winters,2026,4,38024.07960189867,37257.92986667257,38790.22933712477,36850.912819833706,39197.24638396364
revenue,Holt-Winters,2027,1,36848.612740293545,36082.463005067446,37614.762475519645,35675.44595822858,38021.77952235851
revenue,SARIMA,2026,2,37175.25696882785,36562.71198241144,37787.801955244264,36238.450253776515,38112.06368387919
revenue,SARIMA,2026,3,37111.92270651752,36404.13098776857,37819.71442526647,36029.44868471401,38194.39672832104
revenue,SARIMA,2026,4,37218.1577170554,36477.48632731333,37958.82910679747,36085.39857781875,38350.91685629205
revenue,SARIMA,2027,1,37078.0118408969,36323.89695713753,37832.12672465627,35924.69265178891,38231.33103000489
revenue,XGBoost,2026,2,36752.8828125,36747.6234760938,36758.1421489062,36744.829453628,36760.936171372
revenue,XGBoost,2026,3,36426.34375,36421.0844135938,36431.6030864062,36418.290391128,36434.397108872
revenue,XGBoost,2026,4,36768.421875,36763.1625385938,36773.6812114062,36760.368516128,36776.475233872
revenue,XGBoost,2027,1,36975.4375,36970.1781635938,36980.6968364062,36967.384141128,36983.490858872
revenue,Random Forest,2026,2,36873.013095238086,36588.3008159592,37157.72537451697,36437.04741759229,37308.978772883886
revenue,Random Forest,2026,3,36732.746428571416,36448.03414929253,37017.4587078503,36296.780750925616,37168.712106217215
revenue,Random Forest,2026,4,37054.43609523809,36769.7238159592,37339.148374516975,36618.47041759229,37490.40177288389
revenue,Random Forest,2027,1,36806.48759523809,36521.7753159592,37091.19987451698,36370.52191759229,37242.45327288389
revenue,LSTM,2026,2,37005.046875,36201.64027149164,37808.45347850836,35774.83051337782,38235.26323662218
revenue,LSTM,2026,3,37112.47265625,36309.06605274164,37915.87925975836,35882.25629462782,38342.68901787218
revenue,LSTM,2026,4,37187.17578125,36383.76917774164,37990.58238475836,35956.95941962782,38417.39214287218
revenue,LSTM,2027,1,37189.68359375,36386.27699024164,37993.09019725836,35959.46723212782,38419.89995537218
ebitda,Naive Seasonal,2026,2,16016.0,11728.857790052367,20303.142209947633,9451.313491017685,22580.686508982315
ebitda,Naive Seasonal,2026,3,15933.0,11645.857790052367,20220.142209947633,9368.313491017685,22497.686508982315
ebitda,Naive Seasonal,2026,4,16481.0,12193.857790052367,20768.142209947633,9916.313491017685,23045.686508982315
ebitda,Naive Seasonal,2027,1,15684.0,11396.857790052367,19971.142209947633,9119.313491017685,22248.686508982315
ebitda,Linear Trend,2026,2,15936.54736842105,13274.082058880844,18599.012677961255,11859.64736318761,20013.44737365449
ebitda,Linear Trend,2026,3,15837.280451127817,13174.815141587611,18499.745760668022,11760.380445894378,19914.180456361257
ebitda,Linear Trend,2026,4,15738.013533834584,13075.548224294378,18400.47884337479,11661.113528601145,19814.913539068024
ebitda,Linear Trend,2027,1,15638.74661654135,12976.281307001143,18301.211926081556,11561.84661130791,19715.64662177479
ebitda,Holt-Winters,2026,2,17273.44031230709,15524.872074096125,19022.008550518058,14595.945197546549,19950.935427067634
ebitda,Holt-Winters,2026,3,17306.771074893895,15558.202836682929,19055.33931310486,14629.275960133353,19984.266189654438
ebitda,Holt-Winters,2026,4,13355.443669259008,11606.875431048042,15104.011907469974,10677.948554498465,16032.93878401955
ebitda,Holt-Winters,2027,1,16310.980055395248,14562.411817184282,18059.548293606214,13633.484940634706,18988.47517015579
ebitda,SARIMA,2026,2,16180.42391383209,14529.331793045494,17831.516034618686,13655.29642079641,18705.55140686777
ebitda,SARIMA,2026,3,16094.421462749087,14310.668620818931,17878.174304679244,13366.406904849971,18822.4360206482
ebitda,SARIMA,2026,4,15530.522024925513,13680.191302369984,17380.852747481043,12700.685385339588,18360.358664511437
ebitda,SARIMA,2027,1,15869.875408139736,13963.757939709307,17775.992876570166,12954.720303289381,18785.03051299009
ebitda,XGBoost,2026,2,16278.9560546875,16267.41640430471,16290.49570507029,16261.285965038853,16296.626144336147
ebitda,XGBoost,2026,3,15747.78515625,15736.24550586721,15759.32480663279,15730.115066601353,15765.455245898647
ebitda,XGBoost,2026,4,16278.9560546875,16267.41640430471,16290.49570507029,16261.285965038853,16296.626144336147
ebitda,XGBoost,2027,1,15747.78515625,15736.24550586721,15759.32480663279,15730.115066601353,15765.455245898647
ebitda,Random Forest,2026,2,16070.313333333335,15486.341480918447,16654.285185748224,15176.106434323037,16964.520232343635
ebitda,Random Forest,2026,3,15959.128333333332,15375.156480918444,16543.100185748222,15064.921434323034,16853.33523234363
ebitda,Random Forest,2026,4,15971.973333333333,15388.001480918445,16555.945185748224,15077.766434323035,16866.18023234363
ebitda,Random Forest,2027,1,16025.77,15441.798147585112,16609.74185241489,15131.563100989702,16919.9768990103
ebitda,LSTM,2026,2,16318.9150390625,14447.78161343062,18190.04846469438,13453.741981063684,19184.088097061318
ebitda,LSTM,2026,3,16348.4052734375,14477.27184780562,18219.53869906938,13483.232215438684,19213.578331436318
ebitda,LSTM,2026,4,16411.595703125,14540.46227749312,18282.72912875688,13546.422645126184,19276.768761123818
